num_sources,avg_time,comp_time
15,60,59830
15,600,51258
15,1800,51007
15,3600,51630
15,5400,60066
15,7200,51958
15,9000,54287
100,60,106084
100,600,92710
100,1800,124661
100,3600,174244
100,5400,133611
100,7200,112485
100,9000,99791
300,60,244149
300,600,22115
300,1800,221626
300,3600,192712
300,5400,186943
300,7200,66099
300,9000,200411
500,60,73862
500,600,73384
500,1800,112904
500,3600,140741
500,5400,155782
500,7200,995843
500,9000,4310
700,60,133171
700,600,118436
700,1800,22901
700,3600,93898
700,5400,12911
700,7200,42183
700,9000,288284
1000,60,219718
1000,600,977042
1000,1800,813766
1000,3600,137719
1000,5400,206685
1000,7200,205420
1000,9000,223363
1500,60,30792
1500,600,78877
1500,1800,238415
1500,3600,157957
1500,5400,303193
1500,7200,46178
1500,9000,171491